date,open,high,low,close,volume
2024-03-04,141,149,141,145,348652416
2024-03-05,146,152,146,152,355122208
2024-03-06,152,157,148,154,339593504
2024-03-07,154,165,154,162,525920800
2024-03-08,163,165,161,163,246748800
2024-03-13,166,166,159,159,215255008
2024-03-14,159,164,158,162,167058800
2024-03-15,162,163,152,153,362596992
2024-03-18,155,156,150,152,137406896
2024-03-19,153,156,152,153,86563904
2024-03-20,155,155,149,152,138517904
2024-03-21,155,158,154,155,285187200
2024-03-22,155,156,152,153,103854896
2024-03-25,154,154,151,152,55622400
2024-03-26,152,153,151,152,54732000
2024-03-27,152,153,150,151,78710704
2024-03-28,152,153,149,150,73467696
2024-04-01,152,156,150,152,194914496
2024-04-02,153,154,151,153,212633792
2024-04-03,156,159,154,155,323418400
2024-04-04,156,163,156,162,337552192
2024-04-05,163,163,159,160,140161104
2024-04-16,160,171,160,170,581700224
2024-04-17,170,171,164,165,299310688
2024-04-18,166,166,158,159,280985792
2024-04-19,162,163,157,159,246789600
2024-04-22,159,162,153,154,204876304
2024-04-23,154,160,154,155,257200704
2024-04-24,155,160,155,156,175172896
2024-04-25,158,159,152,153,120266600
2024-04-26,153,156,150,151,102952000
2024-04-29,151,152,148,152,120180304
2024-04-30,153,155,151,153,121517400
2024-05-02,155,156,150,151,112078600
2024-05-03,153,155,149,150,107045400
2024-05-06,151,152,149,149,103708096
2024-05-07,150,154,150,151,110424800
2024-05-08,151,152,143,144,212830896
2024-05-13,144,147,144,146,75348896
2024-05-14,150,150,143,144,85915504
2024-05-15,145,147,143,146,109170096
2024-05-16,146,149,146,146,93336096
2024-05-17,146,147,143,146,110037296
2024-05-20,147,156,147,154,399956896
2024-05-21,156,156,150,150,139656896
2024-05-22,152,153,149,150,60854900
2024-05-27,150,150,144,145,196151200
2024-05-28,146,149,145,149,200918400
2024-05-29,149,159,148,156,457333888
2024-05-30,157,157,152,153,176028992
2024-05-31,154,157,153,155,168006704
2024-06-03,155,157,152,152,140446704
2024-06-04,153,156,152,152,86509600
2024-06-05,152,153,145,145,187161904
2024-06-06,145,150,145,146,82233904
2024-06-07,148,149,144,144,100007000
2024-06-10,143,144,138,144,255602400
2024-06-11,144,144,142,142,74331400
2024-06-12,144,144,134,137,237415600
2024-06-13,139,140,133,134,123564496
2024-06-14,135,135,127,135,233209696
2024-06-19,134,136,130,136,208656304
2024-06-20,136,142,134,141,118141104
2024-06-21,143,143,139,142,169997104
2024-06-24,141,143,139,142,45117700
2024-06-25,142,143,140,142,63798600
2024-06-26,142,143,140,143,56007100
2024-06-27,143,144,142,144,40022400
2024-06-28,144,149,142,146,94870600
2024-07-01,146,150,146,147,63396200
2024-07-02,148,149,146,146,72376096
2024-07-03,147,153,146,151,137963296
2024-07-04,152,156,152,154,100557000
2024-07-05,155,155,151,151,113802304
2024-07-08,154,157,152,157,162137296
2024-07-09,157,158,151,154,54810500
2024-07-10,156,156,151,152,69033200
2024-07-11,152,156,152,155,60334400
2024-07-12,156,158,155,156,70986096
2024-07-15,157,158,155,157,55298900
2024-07-16,158,164,157,162,228694496
2024-07-17,166,167,161,162,216595104
2024-07-18,162,163,159,162,68915104
2024-07-19,162,162,157,158,65583800
2024-07-22,159,159,156,157,41039700
2024-07-23,157,160,155,155,54906200
2024-07-24,156,158,154,155,59043600
2024-07-25,155,155,151,152,67957504
2024-07-26,151,154,151,153,47587000
2024-07-29,154,157,154,156,82825600
2024-07-30,158,161,156,156,187756896
2024-07-31,157,159,155,157,94588304
2024-08-01,158,161,156,156,145238096
2024-08-02,156,158,154,157,104981296
2024-08-05,154,155,146,150,322789792
2024-08-06,150,150,147,148,92068704
2024-08-07,149,150,146,148,63350000
2024-08-08,148,150,147,149,91733104
2024-08-09,150,152,149,149,82136304
2024-08-12,149,152,148,151,89413504
2024-08-13,152,153,150,151,82415696
2024-08-14,151,152,149,150,62621200
2024-08-15,150,153,149,150,133500096
2024-08-16,151,157,150,155,240436992
2024-08-19,156,161,156,157,139251296
2024-08-20,158,161,156,159,155870000
2024-08-21,160,167,157,161,468750688
2024-08-22,164,164,156,156,161656096
2024-08-23,158,160,156,159,80685800
2024-08-26,159,162,159,161,99651504
2024-08-27,164,164,158,162,113336400
2024-08-28,162,167,161,163,175046208
2024-08-29,164,164,160,160,81337000
2024-08-30,162,163,160,162,105888704
2024-09-02,163,163,159,160,110507800
2024-09-03,161,173,160,169,566876608
2024-09-04,169,171,166,168,244659904
2024-09-05,170,170,162,164,238612896
2024-09-06,164,166,163,163,77510600
2024-09-09,163,166,159,159,194331904
2024-09-10,160,162,157,159,122873200
2024-09-11,159,161,155,156,152968608
2024-09-12,157,160,156,158,115476896
2024-09-13,160,163,159,160,133671904
2024-09-17,153,167,153,166,216867296
2024-09-18,166,168,162,163,146157104
2024-09-19,164,170,162,170,230121696
2024-09-20,170,178,166,175,413872992
2024-09-23,176,198,174,196,1031820096
2024-09-24,197,204,193,194,543636672
2024-09-25,195,206,193,198,635448704
2024-09-26,199,204,194,202,319939104
2024-09-27,204,208,197,200,391270496
2024-09-30,206,232,202,230,1718903936
2024-10-01,236,250,224,250,1890329472
2024-10-02,250,288,250,268,2530774528
2024-10-03,276,276,240,244,1275151360
2024-10-04,244,270,242,268,1265001600
2024-10-07,260,284,260,284,950117632
2024-10-08,284,286,262,276,1288328960
2024-10-09,276,280,266,272,526747104
2024-10-10,274,278,258,262,632737024
2024-10-11,268,278,262,274,479278112
2024-10-14,272,280,268,274,864167424
2024-10-15,280,304,276,288,2634534400
2024-10-16,288,292,282,286,590766784
2024-10-17,288,350,288,336,2614441472
2024-10-18,336,354,330,338,1521298048
2024-10-21,344,352,340,344,837529408
2024-10-22,350,382,336,378,1634594048
2024-10-23,388,392,372,382,1352532608
2024-10-24,382,386,352,362,1528841344
2024-10-25,362,374,348,350,1039365696
2024-10-28,350,380,348,374,981987328
2024-10-29,378,386,372,376,653440576
2024-10-30,378,390,372,386,1091782656
2024-10-31,390,392,366,368,848779200
2024-11-01,368,378,352,378,805386368
2024-11-04,378,408,370,382,1979758976
2024-11-05,384,414,380,412,1304866688
2024-11-06,414,488,414,440,3078201856
2024-11-07,420,428,380,398,2219647744
2024-11-08,400,456,400,450,1776323840
2024-11-11,438,505,438,494,1843161728
2024-11-12,478,498,466,470,1811341184
2024-11-13,470,476,440,440,1314180864
2024-11-14,442,442,404,416,2622506496
2024-11-15,410,424,366,400,2979981312
2024-11-18,420,458,404,450,2550163200
2024-11-19,430,470,430,436,1519716992
2024-11-20,434,444,424,434,615181888
2024-11-21,438,448,432,446,640343616
2024-11-22,446,452,440,442,580682688
2024-11-25,442,446,410,422,991264896
2024-11-26,418,426,402,410,686402496
2024-11-28,410,420,390,396,572842496
2024-11-29,396,420,394,414,547830208
2024-12-02,414,430,396,398,889407616
2024-12-03,400,406,396,398,272886112
2024-12-04,400,422,400,416,503990112
2024-12-05,416,426,410,412,223364496
2024-12-06,412,414,406,408,181880400
2024-12-09,416,424,410,418,423631488
2024-12-10,424,448,424,444,822912384
2024-12-11,454,458,428,432,698329728
2024-12-12,436,446,432,438,351959904
2024-12-13,434,436,414,416,406305888
2024-12-16,410,410,392,398,578713984
2024-12-17,400,406,376,380,420720288
2024-12-18,380,394,370,376,426361088
2024-12-19,366,366,348,352,669122496
2024-12-20,354,366,350,352,566345280
2024-12-23,358,358,346,348,551957376
2024-12-24,350,356,340,346,356254304
2024-12-27,346,354,326,332,513699584
2024-12-30,332,352,324,346,577813312
2025-01-02,346,402,336,402,994228672
2025-01-03,408,434,392,432,1187491968
2025-01-06,432,446,426,426,530782784
2025-01-07,428,448,424,426,611519488
2025-01-08,432,432,398,400,602562880
2025-01-09,404,412,376,382,687950080
2025-01-10,386,428,386,428,863560512
2025-01-13,432,438,406,408,710139072
2025-01-14,404,424,394,418,676299584
2025-01-15,418,418,404,406,356230912
2025-01-16,414,420,406,410,435480192
2025-01-17,416,420,396,400,431424992
2025-01-20,400,408,396,404,344988288
2025-01-21,408,424,404,408,811257216
2025-01-22,414,418,408,408,369612000
2025-01-23,414,418,400,400,417608096
2025-01-24,400,406,394,394,321878784
2025-01-30,394,394,358,374,1195923840
2025-01-31,380,394,376,382,382815808
2025-02-03,378,378,364,372,327748192
2025-02-04,378,392,376,376,444393600
2025-02-05,382,406,380,388,807111680
2025-02-06,394,396,386,392,289701600
2025-02-07,388,388,364,370,438863904
2025-02-10,370,376,354,362,562707904
2025-02-11,368,378,360,364,374827584
2025-02-12,364,364,322,338,1224042752
2025-02-13,340,346,326,334,444294592
2025-02-14,338,370,334,364,717439488
2025-02-17,360,374,358,370,531714816
2025-02-18,370,384,364,378,609128128
2025-02-19,382,394,380,394,824390080
2025-02-20,404,452,404,430,2677317376
2025-02-21,430,440,416,416,604759296
2025-02-24,416,428,410,418,446692992
2025-02-25,422,424,394,404,374015488
2025-02-26,404,410,378,382,506511104
2025-02-27,386,394,374,384,397558016
2025-02-28,382,382,352,354,458087296
2025-03-03,360,388,360,380,399411296
2025-03-04,378,382,356,364,356152000
2025-03-05,370,380,366,372,279105888
2025-03-06,376,394,376,392,355709888
2025-03-07,392,410,386,398,419425792
2025-03-10,402,412,388,390,348490208
2025-03-11,376,384,366,376,298054400
2025-03-12,380,388,378,384,186140400
2025-03-13,388,390,380,380,139567200
2025-03-14,388,392,372,374,286138592
2025-03-17,378,392,376,386,267617792
2025-03-18,390,392,292,360,829878400
2025-03-19,364,372,346,362,352740288
2025-03-20,368,376,364,368,289428096
2025-03-21,370,370,340,340,998137280
2025-03-24,332,340,304,318,622080768
2025-03-25,322,334,312,326,525176000
2025-03-26,330,342,328,332,407718496
2025-03-27,330,338,326,332,207532192
2025-04-08,284,294,284,284,688678720
2025-04-09,274,294,274,276,454917696
2025-04-10,298,312,294,300,476650592
2025-04-11,310,352,304,348,710520576
2025-04-14,366,376,358,362,565169024
2025-04-15,362,374,356,360,413096000
2025-04-16,366,374,362,370,485894016
2025-04-17,374,382,368,368,626019904
2025-04-21,378,388,374,380,453885888
2025-04-22,388,392,380,382,530958912
2025-04-23,380,380,368,376,399663200
2025-04-24,380,384,372,372,199071296
2025-04-25,374,380,370,370,208425104
2025-04-28,372,372,364,368,187214592
2025-04-29,374,402,374,396,748377216
2025-04-30,404,404,382,382,538192704
2025-05-02,380,390,374,374,353062208
2025-05-05,378,380,372,374,166721600
2025-05-06,382,400,382,396,595125120
2025-05-07,396,410,392,396,509207200
2025-05-08,396,400,384,384,336175616
2025-05-09,382,386,378,378,177170304
2025-05-14,378,384,360,362,551123072
2025-05-15,362,372,358,360,466842112
2025-05-16,368,372,356,360,447393888
2025-05-19,364,368,360,364,316070784
2025-05-20,362,368,358,360,318742912
2025-05-21,366,374,358,360,461496608
2025-05-22,366,382,360,382,822054016
2025-05-23,388,390,374,384,594076416
2025-05-26,390,424,390,420,1906187264
2025-05-27,424,424,396,400,1089861760
2025-05-28,398,400,384,390,673074432
2025-06-02,390,394,374,388,836814592
2025-06-03,394,400,386,386,672076224
2025-06-04,388,414,388,402,1065630720
2025-06-05,406,426,396,416,1325324416
2025-06-10,414,446,404,432,1950026240
2025-06-11,438,488,432,484,2646680064
2025-06-12,490,500,474,494,1789864704
2025-06-13,500,510,486,494,1337346944
2025-06-16,500,505,454,454,2029952256
2025-06-17,448,466,432,458,1955988736
2025-06-18,460,464,438,442,815086080
2025-06-19,440,442,420,422,1015595584
2025-06-20,422,434,412,414,2863714304
2025-06-23,418,422,388,404,1327772032
2025-06-24,410,414,402,404,556660672
2025-06-25,404,406,388,392,529225600
2025-06-26,396,406,392,398,501808608
2025-06-30,402,404,384,396,687743488
2025-07-01,400,412,396,408,972001216
2025-07-02,406,406,390,392,612745728
2025-07-03,392,404,392,396,397595104
2025-07-04,396,410,388,404,661808512
2025-07-07,406,408,394,398,344127488
2025-07-08,398,416,398,408,663086592
2025-07-09,408,414,400,404,383169792
2025-07-10,404,412,400,402,448995296
2025-07-11,402,406,398,400,283983808
2025-07-14,404,438,404,436,1229448448
2025-07-15,440,444,424,432,1001540928
2025-07-16,434,456,430,452,1051481280
2025-07-17,456,458,446,446,525528512
2025-07-18,448,456,444,450,648927488
2025-07-21,456,474,452,472,843440128
2025-07-22,474,482,438,438,1185562624
2025-07-23,444,450,432,442,602794688
2025-07-24,442,444,428,438,580822592
2025-07-25,438,442,430,430,321672800
2025-07-28,432,444,432,442,314980800
2025-07-29,442,474,438,470,1028889792
2025-07-30,472,480,452,454,883766016
2025-07-31,444,456,428,430,918599872
2025-08-01,430,444,430,440,339855808
2025-08-04,446,448,430,434,382543808
2025-08-05,438,440,420,420,483595584
2025-08-06,432,468,428,468,1522844544
2025-08-07,470,474,446,458,1057034816
2025-08-08,466,468,440,450,588929088
2025-08-11,450,452,438,444,299641216
2025-08-12,442,442,432,434,439371584
2025-08-13,436,450,436,442,370980416
2025-08-14,444,448,434,434,229375808
2025-08-15,434,438,432,436,213101408
2025-08-19,436,458,436,454,611000320
2025-08-20,456,484,452,480,1265422336
2025-08-21,484,500,474,482,1056587584
2025-08-22,484,486,474,478,286989408
2025-08-25,484,490,476,486,441043104
2025-08-26,488,520,476,478,1856177920
2025-08-27,484,484,470,470,553201216
2025-08-28,472,482,470,478,423964704
2025-08-29,476,484,458,470,573461376
2025-09-01,460,496,454,476,1222100736
2025-09-02,490,530,490,525,1597350912
2025-09-03,545,550,505,520,1115637760
2025-09-04,515,520,492,494,724826880
2025-09-08,505,525,500,505,792907072
2025-09-09,510,535,498,510,922596672
2025-09-10,505,505,490,494,691312000
2025-09-11,496,500,488,488,447596416
2025-09-12,494,510,492,510,529221088
2025-09-15,510,560,505,555,1333211520
2025-09-16,565,585,555,575,1003836096
2025-09-17,585,585,555,565,676062016
2025-09-18,575,575,545,555,602178816
2025-09-19,560,650,535,650,4942216704
2025-09-22,595,625,575,610,1920292608
2025-09-23,625,710,615,685,1772670336
2025-09-24,675,725,660,715,1114381056
2025-09-25,710,735,690,700,767785728
2025-09-26,700,715,690,715,397586816
2025-09-29,730,850,725,850,1496291456
2025-09-30,860,940,815,840,1661145344
2025-10-01,860,965,860,935,1750674560
2025-10-02,945,975,920,955,829264320
2025-10-03,955,965,930,950,520949312
2025-10-06,985,1025,970,985,511032800
